店名,地址,电话
多点便利店（石景山医院店）,石景山区石景山路24号南楼一层底商1号,15801080717
网络超市,海淀区中关村大街3号鼎好电子大厦4839号铺（近新中关购物中心）,
超市发,大兴区经济开发区科创十三街18号院2号楼1层,
世纪华联超市（环湖小镇店）,通州区张家湾镇西定福庄村商业楼20号,13439887955
物美大卖场（万源店）,丰台区万源北路航天万源广场1-3层,010-68198395
超市发,昌平区南邵中国铁建青秀尚城,
京鲜生超市,大兴区大兴区锦城商业中心底商,
罗森（东亚望京中心店）,朝阳区广顺北大街望京园401号楼1层2-109号（东亚望京中心大堂正门右侧底商）,
世纪华联超市（五爱屯西街2800店）,丰台区南苑乡五爱屯西街飞腾家园3号院1号楼1单元101,13601293896/010-67936709
华联生活超市,通州区中上园物业处,13501167897
网络超市,海淀区中关村大街3号鼎好电子大厦4839号铺（近新中关购物中心）,
京客隆（西红门路店）,大兴区西红门路6号（汉庭酒店旁）,010-67971986
便利蜂（远洋新天地一期）,门头沟区门头沟区远洋新天地2号楼一层125号,18618139140
沃尔玛购物广场（宣武店）,西城区宣武门外大街28号（崇光百货南）,010-63168905
物美大卖场（万源店）,丰台区万源北路航天万源广场1-3层,010-68198395
超市发,昌平区南邵中国铁建青秀尚城,
罗森（东亚望京中心店）,朝阳区广顺北大街望京园401号楼1层2-109号（东亚望京中心大堂正门右侧底商）,
华源超市,丰台区大红门东后街143号43栋101,13522128986
生鲜生活超市,大兴区大兴区珺悦国际,
世纪家家福连锁超市,昌平区沙河镇巩华城大街28号鑫之星农副产品零售市场南厅,13671251544
中海生活超市,朝阳区小红门乡成寿寺路东侧中海城圣朝菲小区M6号楼一层101室,17501016658
烟酒茶超市,朝阳区望京街道花家地南里9号楼底商,010-64756802
物美便利超市（香山南路店）,石景山区香山南路168号西山枫林,010-88774092
超市,大兴区天华街9号院10号楼1层101,15537616260
首航超市（南大红门店）,丰台区南大红门路梅园大厦1楼,010-68759175
麦德龙（十里河商场店）,朝阳区十里河建材一条街,010-87386888
新成街便利店（恒安店）,延庆区延庆县延庆镇新城街恒安小区3号楼北平房,010-61125906
京客隆（双桥东路店）,朝阳区双桥东路甲10号零点特区B1-1层,010-65467075
便利蜂（良乡拱辰大街33号店）,房山区拱辰街道良乡拱辰大街33号云柏鞋业大厦底商,13810658094
山姆会员商店（阜石路店）,石景山区阜石路158号（阜石路与时代花园东街交叉口西南角）,010-68889556/010-68889559
嘉园超市,海淀区西钓鱼台2号地5号楼A03号,010-68797974/18511381391
麦德龙（京顺路商场）,朝阳区京顺路111号（近太阳宫北街）,010-84556888
物美便利超市（星园店）,丰台区芳星园一区9号楼底商,010-67632387/67656327
家乐福（国展店）,朝阳区北三环东路乙6号（近国际展览中心）,010-52092530
福兰德超市,通州区宋庄任庄村,
沃尔玛超市（昌崔路店）,昌平区昌崔路203号（果岭假日广场）,010-80125937
永辉超市（鸿坤店）,大兴区西红门宏福路（欣旺大街）鸿坤理想城B1,010-59543136
7-11（航城广场店）,顺义区金穗路2号院6号楼1层103,
轻便利,朝阳区朝阳路传媒大学北门马路对面聚福苑2号楼底商,13263116694
华联生活超市,昌平区沙河镇能源东路1号院1号楼2层214、215,15210686591
便利蜂,顺义区顺义区怡馨家园,
家乐福（方圆店）,海淀区中关村南大街甲56号方园大厦B1-1楼,010-88362729/13810312353
谊品生鲜超市（北京长阳半岛店）,房山区长阳镇祥云街4号院7号楼101102103104105106号商铺,13195696289
世纪华联超市,延庆区北京市延庆区永宁镇兴阳线与拱辰街交叉路口西50米,
烟酒超市,海淀区翠微路4号3号楼一层12号,13371610379
7FRESH生鲜超市（华宇时尚购物中心店）,海淀区中关村南大街2号华宇时尚购物中心B1层,010-51705538/010-51705539
超市发超市（密云檀西店）,密云区檀西路东侧（长城环岛北）,010-69062453
菜鲜果美（亚运村店）,朝阳区安立路68号-1层11区内B1-180,010-64909009
新成街便利店（恒安店）,延庆区延庆县延庆镇新城街恒安小区3号楼北平房,010-61125906
罗森（科技经营管理学院店）,昌平区沙河镇丰善东北京科技经营管理学院一幢一层23-25号,18611983602
鑫康乐福超市,怀柔区怀柔北铁路小区对面,13126905298/010-69664419
轻便利,朝阳区朝阳路传媒大学北门马路对面聚福苑2号楼底商,13263116694
永辉超市（金宝PARK天阶店）,顺义区金宝PARK天阶,010-81486520
华联超市（花家地店）,朝阳区望京开发街道花家地南里9号楼,13301291123
物美生活超市（八角店）,石景山区八角西街北口甲6号（古城大街路口以东约180米路北）,010-68873843
7-11（镇国寺北街二号店）,丰台区草桥东路14号楼,13263274697
盒马鲜生（亚运村店）,朝阳区北辰东路8号,010-83050380
鲜果超市,昌平区北清路客到家美食城261号5幢502号,13439097913
7-11（航城广场店）,顺义区金穗路2号院6号楼1层103,
双龙超市（紫南店）,朝阳区大柳树紫南家园108号华瀚商业中心A座,010-87350010
点点超市（石窝镇石窝村富山酒店）,房山区石窝镇石窝村富山酒店前院,
喜友邻便利,西城区新街口南大街平安里地铁站,
福兰德超市,通州区宋庄任庄村,
Jenny Lou’s（三里屯店）,朝阳区三里屯北小街6号,010-64616928/64621396
家乐福（富贵园中心店）,东城区广渠门内大街35-7号富贵园购物中心2-3层,010-67125167
物美（北沙滩店）,朝阳区南沙滩66号院1号楼B1楼（北沙滩桥东）,010-64856498
家乐福（双井店）,朝阳区广渠路31号13711（双井桥东）,4008512512/010-51909509
全时汇超市,通州区宋庄镇小堡村,13366087320
魁缘超市,昌平区南一村扶京门路甲3号3排3号（南一村沙河医院东门）,13001002917
喜客多超市烟酒,通州区物资学院路99号,15510901160
D-MART超市（望京店）,朝阳区望京西园423号韩国城内,
阳光超市,石景山区鲁谷村7号楼底商,
永辉超市（天宫院店）,大兴区华佗路凯德广场B2层,010-61256987
康乐超市,朝阳区日坛北路6号日坛公园西门附近,13521370211
鲜果超市,昌平区北清路客到家美食城261号5幢502号,13439097913
佳得利超市,房山区窦店镇田家园小区南门东一层1号底商,13717608875
7ELEVEN（富力运河十号店）,通州区江米店街1号院4号楼1层106,13069421803
物美综合超市（右安门店）,丰台区右安门外大街99号华商科技大厦一楼,010-83550396
京朝烟酒超市,朝阳区百子湾东里403号楼1层102,13810664067
物美综合超市（贵友大厦店）,通州区云景东路1号贵友大厦地下1层,010-59754221
叮当智慧药房,东城区灯市口大街50号1号楼一层115室,4008802828
家乐福（凯德mall大峡谷店）,丰台区南三环西路16号凯德mall大峡谷B1层（右安南桥东南）,010-87570808
华源超市,昌平区北七家镇温都水城宏福苑3号楼,18710070972
家乐福（方庄店）,丰台区方庄芳城园二区15号（方庄环岛东北角旁）,010-52252900
超市,大兴区天华街9号院10号楼1层101,15537616260
舒客超市,顺义区顺义区国门智慧城,
锅圈食汇（常营店）,朝阳区常营中路1号院11-16号,
麦德龙（立水桥店）,朝阳区安立路3号,010-87486888
7FRESH生鲜超市（北京ONE店）,通州区中山大街59号,010-60533072
来故乡超市,朝阳区阜通西大街望京西园三区315号楼一层底商（近望京街）,010-64706841/64725910
多点便利店,丰台区菜户营东街60号,17800215381
罗森（超市发苏州街店）,海淀区海淀大街38号楼一层1-07,010-62559602
京客隆（石佛营店）,朝阳区石佛营小区西里圣派嘉华旁,010-85825056
华联生活超市（领秀硅谷店）,海淀区西二旗中路2号院东门外（近同仁堂药店 麦田地产）,010-62052331/15601315258
京美超市（延静里店）,朝阳区八里庄街道延静里中街乙5号,18911781906
世纪华联超市（金侨时代店）,通州区云景东里366号楼1层101,13717806783
世纪华联超市（邢各庄店）,通州区宋庄镇邢各庄路700号（宋粱路与政府路交叉口东100米）,13146331110
顺天府超市（国英店）,西城区西直门内大街国英园1号楼B1楼（近青年宫）,010-58561342/58561347
花满园超市,昌平区小汤山镇沙顺路79号1层109A,18701633341/15010042435
世纪华联超市,朝阳区东苇路康泰高科饮品（北京）有限公司斜对面,
世纪华联超市,朝阳区锦芳北街,010-64188042
大型综合超市,丰台区卢沟桥北北里城内街市场内,
D-MART超市（望京店）,朝阳区望京西园423号韩国城内,
阳光超市,石景山区鲁谷村7号楼底商,
家乐福（富贵园中心店）,东城区广渠门内大街35-7号富贵园购物中心2-3层,010-67125167
华联生活超市（上庄店）,海淀区上庄馨瑞嘉园1号楼1层4单元104,18937608785
超市,昌平区昌平镇东关南里小区26号楼4单元1-2层1号,13401004131
康乐超市,朝阳区日坛北路6号日坛公园西门附近,13521370211
福兰德超市,通州区宋庄任庄村,
家乐福（方庄店）,丰台区方庄芳城园二区15号（方庄环岛东北角旁）,010-52252900
物美综合超市（右安门店）,丰台区右安门外大街99号华商科技大厦一楼,010-83550396
鲜果超市,昌平区北清路客到家美食城261号5幢502号,13439097913
双龙超市（紫南店）,朝阳区大柳树紫南家园108号华瀚商业中心A座,010-87350010
京朝烟酒超市,朝阳区百子湾东里403号楼1层102,13810664067
叮当智慧药房,东城区灯市口大街50号1号楼一层115室,4008802828
家乐福（凯德mall大峡谷店）,丰台区南三环西路16号凯德mall大峡谷B1层（右安南桥东南）,010-87570808
华源超市,昌平区北七家镇温都水城宏福苑3号楼,18710070972
7FRESH生鲜超市（北京ONE店）,通州区中山大街59号,010-60533072
麦德龙（立水桥店）,朝阳区安立路3号,010-87486888
超市,大兴区天华街9号院10号楼1层101,15537616260
锅圈食汇（常营店）,朝阳区常营中路1号院11-16号,
舒客超市,顺义区顺义区国门智慧城,
华欣超市（三义庙店）,海淀区三义庙北8号楼福乐康家超市,18611896815
来故乡超市,朝阳区阜通西大街望京西园三区315号楼一层底商（近望京街）,010-64706841/64725910
多点便利店,丰台区菜户营东街60号,17800215381
罗森（超市发苏州街店）,海淀区海淀大街38号楼一层1-07,010-62559602
京客隆（石佛营店）,朝阳区石佛营小区西里圣派嘉华旁,010-85825056
华联生活超市（领秀硅谷店）,海淀区西二旗中路2号院东门外（近同仁堂药店 麦田地产）,010-62052331/15601315258
京美超市（延静里店）,朝阳区八里庄街道延静里中街乙5号,18911781906
世纪华联超市（金侨时代店）,通州区云景东里366号楼1层101,13717806783
世纪华联超市（邢各庄店）,通州区宋庄镇邢各庄路700号（宋粱路与政府路交叉口东100米）,13146331110
顺天府超市（国英店）,西城区西直门内大街国英园1号楼B1楼（近青年宫）,010-58561342/58561347
花满园超市,昌平区小汤山镇沙顺路79号1层109A,18701633341/15010042435
世纪华联超市,朝阳区东苇路康泰高科饮品（北京）有限公司斜对面,
世纪华联超市,朝阳区锦芳北街,010-64188042
大型综合超市,丰台区卢沟桥北北里城内街市场内,
华联生活超市No.6977,昌平区天通苑西三区北门2号楼,18811712586/010-52495190
京客隆（亦庄店）,大兴区亦庄镇贵园小区路西2号,010-67887367
多点便利店（立军路店）,昌平区东小口镇佳运园26号楼1层112,17732296304
京客隆（金顶街店）,石景山区金顶路便民小店西30米,010-88734587
京客隆（望京店）,朝阳区湖光北街南湖中园一区211号楼（近南湖北路）,010-64758592
德露苑得利商店,门头沟区德露苑路,
京客隆（龙旺庄店）,通州区永顺镇龙旺庄村（近金石滩大连海鲜农家菜）,010-89512538
松鼠便利（万芳园二区店）,丰台区花乡万芳园二期10号楼底107,18600905635
物美（小屯路店）,丰台区小屯路6号,010-57222054
便利蜂,昌平区黄平路七北路42号院2号楼1层108号,010-61845867
酒便利（增光路店）,海淀区增光路27号院3号楼27-8西侧,010-56255965
京客隆（枣营南里路店）,朝阳区麦子店枣营南里10号楼,010-65074383
同日升粮行（北新桥店）,东城区雍和宫大街54号,010-64035783
名创优品（北京首地家乐福店）,丰台区南三环西路16号院1号楼NSH-B,
7-11（东城区东四南大街店）,东城区东四南大街1号1幢1层103,010-64213960
LAWSON,海淀区羊坊店路16号,
7-11（南湖南路店）,朝阳区望京南湖南路16号院4号楼103,010-64727931
悠惠万家（蟠桃宫店）,东城区崇文门东大街东花市北里西区8号楼底商,13521893006
多点便利店（海淀黄庄店）,海淀区双榆树北路57号,
好邻居,海淀区安宁庄东路18号21号、22号平房,13020027978
物美（杜家坎店）,丰台区周口店路杜家坎环岛北侧集美家具B1楼,010-83868542
永辉超市（垡头店）,朝阳区垡头翠成馨园甲401号（近垡头中学）,010-56350599
永辉超市（东星时尚广场店）,朝阳区双桥路3号东星时尚广场1层,010-59769891
7FRESH生鲜超市（大族广场店）,大兴区荣华南路2号大族广场购物中心1层,010-67865671
精致超市（新奥购物中心店）,朝阳区湖景东路11号新奥购物中心B2层,
首航超市,丰台区丰台北路甲79号首航生活广场二层,010-83653660
物美超市（三里河店）,西城区三里河东路一区5-6号（国家工商总局对面）,
盒马mini（和平里店）,东城区和平里东街22号,010-83050353
福兰德超市,大兴区树桥十一号大院东南（树桥路西）,
超市,昌平区京表大厦,
超市,通州区宋庄镇平疃路,
勇發百货超市,朝阳区金盏路与金榆路交叉口西,
天天超市,通州区玉桥北里41号楼2-1室,13021208170
世纪家家福连锁超市,丰台区朱家坟三里9号,010-83842773
便利蜂,西城区华远北街2号,010-61845867
超市发（会城门店）,海淀区铁道部羊坊店住宅区,010-51932036
万家惠超市,朝阳区高碑店乡陈家林临8号都市家公寓A106,17701021997
华源超市（十八里店店）,朝阳区十八里店桥与南四环东路交叉口南150米,18638716193
超市发（唐家岭店）,海淀区友谊路农村商业银行旁,010-82177452
大星发超市（豫皖朋店）,密云区学府花园2-11号,010-69686178
烟酒超市（新源里店）,朝阳区新源里14号,13522508566
永辉超市（台湖泰禾店）,通州区站前街南四街与通马路交叉口麦当劳楼下,010-80823733
罗森（超市发高梁桥店）,海淀区高梁桥斜街42号院1号楼1层,13011105083
便利蜂（金关北二街店）,顺义区金关北二街3号院4号楼1层103-2-101的房屋,4000001234
便利蜂,房山区南大街12号,
罗森便利,朝阳区东土城路14号建达大厦一层右手边,
飞牛便利（看丹桥店）,丰台区看丹路4号院甲6号,17610100089
便利蜂（用友路店）,海淀区用友产业园北清路68号院2号楼一层,13031182745
京东便利店（伟华兴业超市店）,西城区马莲道东街2号院1,13488831929
盒马mini（和平里店）,东城区和平里东街22号,010-83050353
福兰德超市,大兴区树桥十一号大院东南（树桥路西）,
超市,昌平区京表大厦,
超市,通州区宋庄镇平疃路,
勇發百货超市,朝阳区金盏路与金榆路交叉口西,
超市,西城区西安门大街169号,
超市,海淀区树村路中电华晶酒店一层,
超市,海淀区6国道辅路,17501093195
宜家超市,房山区阎村镇燕东路7号,13501185564
超市,房山区绿地,13581829074
天堂超市Heaven Supermarket,海淀区华清嘉园(荷清路)12-12号,
福兰德超市,通州区宋梁路虫子美术对面,13911390147
福兰德超市,顺义区铁匠营村铁兴西街12号,15311777518
万家乐超市,朝阳区顺白路三秦面馆旁,
福兰德超市,通州区东西垡路西垡村290号,
蔬菜盒子便利店,大兴区黄村镇孙村首创悦都汇底商3区1层3105,15300330366
松鼠便利（长安小区店）,密云区密云镇清真南巷1号,15510559798
物美（紫竹桥店）,海淀区紫竹院路华澳中心地下,
华欣便利店（周庄店）,朝阳区周庄嘉园南里1号楼1层,15710003581
卜蜂莲花（通州店）,通州区运河东大街58号,010-81555607
京东便利店,通州区玉带河东街229号,18101072082
多点便利,东城区体育馆路2号,010-10100818
便利蜂,昌平区农学院北路9号院三区15号楼1层1号,17631001693
京客隆（永安路店）,西城区天桥仁寿路5号（友谊医院门诊楼对面）,010-63038176
7-11（朝阳武圣北路店）,朝阳区武圣北路6号院号楼一层西侧,010-67774119
7-11（左家庄路国门大厦店）,朝阳区左家庄1号国门大厦B座一层,010-64672577
京东便利店,大兴区黄村镇双河北里41号楼1层02商铺,13716568594
顺丰优选,朝阳区管庄双桥东路12号院1号楼,
同兴成,西城区护国寺街48号,
物美大卖场（西关店）,昌平区政府街西路2号（西关环岛东南角）,010-60719336
好邻居（丰盛胡同店）,西城区西四南大街111号,4006618381
131便利店（住邦店）,朝阳区八里庄住邦2000商务中心底商1层,
BHG生活超市（华联万柳购物中心店）,海淀区巴沟路2号华联万柳购物中心B1层,010-82589368
BHG 生活超市（五道口店）,海淀区成府路28号五道口购物中心B1楼（近五道口地铁站）,010-62666205
麦德龙（十里河商场店）,朝阳区十里河建材一条街,010-87386888
711便利店（金地广场店）,朝阳区建国路91号金地广场地下一层,010-65924252
酒便利（常营店）,朝阳区常营中路2号院甲2号楼1层9号,010-57920337
京佰佳便利店（大地店）,朝阳区金家村中街9号大地时尚文化创意园1层,18601680835
京东便利店,海淀区雪芳里一楼底商,
京客隆（红松园店）,朝阳区红松园北里16号,010-65494985
宜家超市,房山区阎村镇燕东路7号,13501185564
盒马mini（和平里店）,东城区和平里东街22号,010-83050353
福兰德超市,大兴区树桥十一号大院东南（树桥路西）,
福兰德超市,顺义区铁匠营村铁兴西街12号,15311777518
万家乐超市,朝阳区顺白路三秦面馆旁,
超市,昌平区京表大厦,
超市,通州区宋庄镇平疃路,
多点便利（金隅嘉华C座店）,海淀区上地三街9号C座C-18、C-19、C-20,13681495006
优布劳精酿鲜扎闪送（方庄店）,丰台区南二环芳城园一区10号楼南侧底商,15801158312
多点便利（南横东街店）,西城区南横东街1-22,
多点便利店（毛纺路店）,海淀区清河毛纺路清河供应站7幢1层109号,13720019530
多点便利店（学院路店）,海淀区学院路31号1幢A段1层101,13301243713
京东便利店（椿楸嘉园店）,海淀区双槐树嘉园1号楼底商大门西第二间,13810783811
奥北内蒙特产尚品牛肉干,朝阳区汤立路201号院5号楼2层E-232室,13910110143
易达便利,顺义区怡馨家园20号楼02,15711202069
便利蜂,东城区朝阳门内南小街20楼,
罗森（兴创国际中心4区店）,大兴区欣雅街16号院7号楼1层104室,13522711472
青岛精酿鲜啤（西四店）,西城区西四北大街214号,18514548585
多点便利（新华北路店）,通州区盐滩路北皇木厂街2号院1号楼1层1-11,15001262581
便利蜂,大兴区天宝南街4号,
便利蜂,石景山区古城金融街·长安中心,
便利蜂（灯市口大街57号店）,东城区灯市口大街57号,4000001234
盒马mini（和平里店）,东城区和平里东街22号,010-83050353
福兰德超市,大兴区树桥十一号大院东南（树桥路西）,
超市,昌平区京表大厦,
超市,通州区宋庄镇平疃路,
勇發百货超市,朝阳区金盏路与金榆路交叉口西,
超市,西城区西安门大街169号,
超市,海淀区树村路中电华晶酒店一层,
超市,海淀区6国道辅路,17501093195
宜家超市,房山区阎村镇燕东路7号,13501185564
超市,房山区绿地,13581829074
天堂超市Heaven Supermarket,海淀区华清嘉园(荷清路)12-12号,
福兰德超市,通州区宋梁路虫子美术对面,13911390147
福兰德超市,顺义区铁匠营村铁兴西街12号,15311777518
万家乐超市,朝阳区顺白路三秦面馆旁,
福兰德超市,通州区东西垡路西垡村290号,
家乐福（大钟寺广场店）,海淀区北三环西路中坤广场地下二层（近地铁13号线大钟寺站）,010-52963298
瑞丰超市,昌平区土楼早市菜市场,
便利蜂,昌平区府学路2号（阳光商厦斜对面）,
LAWSON,海淀区学清路8号,
多点便利店（霄云路店）,朝阳区霄云路28号院2号楼1层107,15729301179
香顺亿商店,海淀区香山买卖街中段,
LAWSON罗森,东城区革新南路2号院北门西侧1号-1,
多点便利店（吴家场路店）,丰台区莲花池西里26号院1号楼一层125,13241663891
便利蜂（通燕高速辅路店）,通州区通燕高速辅路,
便利蜂（龙湖长安天街店）,门头沟区门头沟区永定长安天街（龙湖长安天街）,
LAWSON罗森（国盛凯恒中心店）,东城区大街2号,
便利蜂（国信大厦）,门头沟区双峪路5号,
公主楼二层餐厅商品部,海淀区中国农业大学东校区公主楼二楼东侧,
盒马mini（和平里店）,东城区和平里东街22号,010-83050353
福兰德超市,大兴区树桥十一号大院东南（树桥路西）,
超市,昌平区京表大厦,
超市,通州区宋庄镇平疃路,
勇發百货超市,朝阳区金盏路与金榆路交叉口西,
超市,西城区西安门大街169号,
超市,海淀区树村路中电华晶酒店一层,
超市,海淀区6国道辅路,17501093195
宜家超市,房山区阎村镇燕东路7号,13501185564
超市,房山区绿地,13581829074
天堂超市Heaven Supermarket,海淀区华清嘉园(荷清路)12-12号,
福兰德超市,通州区宋梁路虫子美术对面,13911390147
福兰德超市,顺义区铁匠营村铁兴西街12号,15311777518
万家乐超市,朝阳区顺白路三秦面馆旁,
福兰德超市,通州区东西垡路西垡村290号,
家乐福（大钟寺广场店）,海淀区北三环西路中坤广场地下二层（近地铁13号线大钟寺站）,010-52963298
瑞丰超市,昌平区土楼早市菜市场,
主食超市（红莲南路店）,西城区马莲道东街15号,15116975029
首航超市,大兴区育新花园北里,
物美超市（华贸城店）,朝阳区清河营南街7号院3号楼地下一层,010-88681600
烟酒超市,东城区东华门大街3号,
永辉超市（中粮万科长阳半岛店）,房山区长阳镇长阳路中粮万科长阳半岛广场B1层（房山长阳地铁站向西200米）,010-89375434
永辉超市（绿地缤纷城店）,房山区天星街1号院7号楼绿地缤纷城B1层,010-52808776
永辉超市（清河店）,海淀区清河龙岗路51号清润家园小区底商,010-61199166
吉祥超市,海淀区小太阳双语幼儿园东（温泉路南）,
鑫鑫超市（首都机场辅路店）,朝阳区崔各庄乡草场地村41号,18514662266
华联超市,朝阳区雅成三里18-112号,010-57021890
华冠超市（水碾屯店）,房山区阜盛大街水碾屯西里内,010-69360687
华联超市,朝阳区花园闸北里12号楼底商102室,13661258939
盒马mini（和平里店）,东城区和平里东街22号,010-83050353
福兰德超市,大兴区树桥十一号大院东南（树桥路西）,
超市,昌平区京表大厦,
超市,通州区宋庄镇平疃路,
勇發百货超市,朝阳区金盏路与金榆路交叉口西,
超市,西城区西安门大街169号,
超市,海淀区树村路中电华晶酒店一层,
超市,海淀区6国道辅路,17501093195
宜家超市,房山区阎村镇燕东路7号,13501185564
超市,房山区绿地,13581829074
天堂超市Heaven Supermarket,海淀区华清嘉园(荷清路)12-12号,
福兰德超市,通州区宋梁路虫子美术对面,13911390147
福兰德超市,顺义区铁匠营村铁兴西街12号,15311777518
万家乐超市,朝阳区顺白路三秦面馆旁,
福兰德超市,通州区东西垡路西垡村290号,
家乐福（大钟寺广场店）,海淀区北三环西路中坤广场地下二层（近地铁13号线大钟寺站）,010-52963298
瑞丰超市,昌平区土楼早市菜市场,
主食超市（红莲南路店）,西城区马莲道东街15号,15116975029
首航超市,大兴区育新花园北里,
物美超市（华贸城店）,朝阳区清河营南街7号院3号楼地下一层,010-88681600
烟酒超市,东城区东华门大街3号,
物美超市（酒仙桥店）,朝阳区酒仙桥路甲4号宏源大厦,
大脚超市,昌平区书画山风景区西,
福兰德超市（小店村店）,朝阳区贝贝佳幼儿园东北（金港南路南）,
世纪华联超市（天宫院店）,大兴区天水大街46号院1,010-50984552/13522796639
世纪华联超市（采育店）,大兴区育兴苑19号,
生活超市,海淀区北坞嘉园北里茶棚路469号附近,13552375754
超市发连锁超市（楼台店）,顺义区天竺镇楼台村幸福西街10号,18210663202
华欣超市（金顶街店）,石景山区金顶街二区商业用房68号楼一层08号,18910311360/13120066699
乐购超市,大兴区林校路,
家乐福（慈云寺店）,朝阳区东四环中路39号华业国际中心底商（慈云寺桥西北）,010-51005702
大润发（民族园店）,朝阳区民族园路2号唐人街购物广场2层,010-51994538
盒马mini（和平里店）,东城区和平里东街22号,010-83050353
福兰德超市,大兴区树桥十一号大院东南（树桥路西）,
超市,昌平区京表大厦,
超市,通州区宋庄镇平疃路,
勇發百货超市,朝阳区金盏路与金榆路交叉口西,
超市,西城区西安门大街169号,
超市,海淀区树村路中电华晶酒店一层,
超市,海淀区6国道辅路,17501093195
宜家超市,房山区阎村镇燕东路7号,13501185564
超市,房山区绿地,13581829074
天堂超市Heaven Supermarket,海淀区华清嘉园(荷清路)12-12号,
福兰德超市,通州区宋梁路虫子美术对面,13911390147
福兰德超市,顺义区铁匠营村铁兴西街12号,15311777518
万家乐超市,朝阳区顺白路三秦面馆旁,
福兰德超市,通州区东西垡路西垡村290号,
家乐福（大钟寺广场店）,海淀区北三环西路中坤广场地下二层（近地铁13号线大钟寺站）,010-52963298
瑞丰超市,昌平区土楼早市菜市场,
主食超市（红莲南路店）,西城区马莲道东街15号,15116975029
首航超市,大兴区育新花园北里,
物美超市（华贸城店）,朝阳区清河营南街7号院3号楼地下一层,010-88681600
烟酒超市,东城区东华门大街3号,
物美超市（酒仙桥店）,朝阳区酒仙桥路甲4号宏源大厦,
大脚超市,昌平区书画山风景区西,
福兰德超市（小店村店）,朝阳区贝贝佳幼儿园东北（金港南路南）,
京东便利店·平利超市,昌平区城北街道北环路北城根小区20号楼底商,18210673038/18801328133
优家选生活超市,通州区东石东四路2号院6号楼1层101,17310402696/18655555289
盒马mini（和平里店）,东城区和平里东街22号,010-83050353
福兰德超市,大兴区树桥十一号大院东南（树桥路西）,
超市,昌平区京表大厦,
超市,通州区宋庄镇平疃路,
勇發百货超市,朝阳区金盏路与金榆路交叉口西,
超市,西城区西安门大街169号,
超市,海淀区树村路中电华晶酒店一层,
超市,海淀区6国道辅路,17501093195
宜家超市,房山区阎村镇燕东路7号,13501185564
超市,房山区绿地,13581829074
天堂超市Heaven Supermarket,海淀区华清嘉园(荷清路)12-12号,
福兰德超市,通州区宋梁路虫子美术对面,13911390147
福兰德超市,顺义区铁匠营村铁兴西街12号,15311777518
万家乐超市,朝阳区顺白路三秦面馆旁,
福兰德超市,通州区东西垡路西垡村290号,
家乐福（大钟寺广场店）,海淀区北三环西路中坤广场地下二层（近地铁13号线大钟寺站）,010-52963298
瑞丰超市,昌平区土楼早市菜市场,
主食超市（红莲南路店）,西城区马莲道东街15号,15116975029
首航超市,大兴区育新花园北里,
物美超市（华贸城店）,朝阳区清河营南街7号院3号楼地下一层,010-88681600
烟酒超市,东城区东华门大街3号,
物美超市（酒仙桥店）,朝阳区酒仙桥路甲4号宏源大厦,
大脚超市,昌平区书画山风景区西,
福兰德超市（小店村店）,朝阳区贝贝佳幼儿园东北（金港南路南）,
阳光超市,朝阳区顺白路奶西村东方神娃双语幼儿园旁,
天客隆超市（永定路店）,海淀区永定路70号551楼,
华联超市,海淀区北辛庄路西150米,
阳光超市,石景山区鲁谷村7号楼底商,
D-MART超市（望京店）,朝阳区望京西园423号韩国城内,
双桥超市发,朝阳区东三环南路辅路与广渠路外大街交叉口南行200米路西,18310177868
盒马mini（和平里店）,东城区和平里东街22号,010-83050353
福兰德超市,大兴区树桥十一号大院东南（树桥路西）,
超市,昌平区京表大厦,
超市,通州区宋庄镇平疃路,
勇發百货超市,朝阳区金盏路与金榆路交叉口西,
超市,西城区西安门大街169号,
超市,海淀区树村路中电华晶酒店一层,
超市,海淀区6国道辅路,17501093195
宜家超市,房山区阎村镇燕东路7号,13501185564
超市,房山区绿地,13581829074
天堂超市Heaven Supermarket,海淀区华清嘉园(荷清路)12-12号,
福兰德超市,通州区宋梁路虫子美术对面,13911390147
福兰德超市,顺义区铁匠营村铁兴西街12号,15311777518
万家乐超市,朝阳区顺白路三秦面馆旁,
福兰德超市,通州区东西垡路西垡村290号,
家乐福（大钟寺广场店）,海淀区北三环西路中坤广场地下二层（近地铁13号线大钟寺站）,010-52963298
瑞丰超市,昌平区土楼早市菜市场,
主食超市（红莲南路店）,西城区马莲道东街15号,15116975029
首航超市,大兴区育新花园北里,
物美超市（华贸城店）,朝阳区清河营南街7号院3号楼地下一层,010-88681600
烟酒超市,东城区东华门大街3号,
物美超市（酒仙桥店）,朝阳区酒仙桥路甲4号宏源大厦,
大脚超市,昌平区书画山风景区西,
福兰德超市（小店村店）,朝阳区贝贝佳幼儿园东北（金港南路南）,
阳光超市,朝阳区顺白路奶西村东方神娃双语幼儿园旁,
天客隆超市（永定路店）,海淀区永定路70号551楼,
华联超市,海淀区北辛庄路西150米,
阳光超市,石景山区鲁谷村7号楼底商,
D-MART超市（望京店）,朝阳区望京西园423号韩国城内,
双桥超市发,朝阳区东三环南路辅路与广渠路外大街交叉口南行200米路西,18310177868
尚京生活超市,石景山区鲁谷南路29-9号,
欣悦诚洁超市,顺义区二十里堡路与幸福路交叉口西南100米月如公寓,
福兰德超市,大兴区树桥十一号大院东南（树桥路西）,
